# Formato: categoria|dificuldade|enunciado|alternativa1;alternativa2;alternativa3;alternativa4|correta(1-4)
# Bloco A - KISS, DRY, YAGNI e SOLID
CLEAN_CODE|VERY_EASY|A sigla KISS significa "Keep It Simple,___"?|Stupid;Slow;Secure;Static|1
AWS|EASY_PLUS|O serviço da AWS de data warehouse (armazenamento analítico) é o:|Redshift;DynamoDB;S3 exclusivamente;RDS|1
AWS|EASY_PLUS|O serviço da AWS usado para balanceamento de carga é o:|Elastic Load Balancing (ELB);Route 53 exclusivamente;CloudFront exclusivamente;VPC|1
AWS|EASY_PLUS|O recurso da AWS que ajusta automaticamente a quantidade de instâncias conforme a demanda é o:|Auto Scaling;IAM;S3;CloudTrail|1
AWS|EASY|O serviço de armazenamento em bloco usado junto a instâncias EC2 é o:|EBS (Elastic Block Store);S3 exclusivamente;EFS exclusivamente;Glacier|1
AWS|EASY|O serviço de armazenamento de arquivos compartilhado (sistema de arquivos) da AWS é o:|EFS (Elastic File System);EBS exclusivamente;S3 exclusivamente;RDS|1
AWS|EASY|O serviço da AWS que facilita o deploy de aplicações web sem gerenciar toda a infraestrutura manualmente é o:|Elastic Beanstalk;IAM;VPC;Route 53|1
AWS|EASY_PLUS|O serviço de orquestração de fluxos de trabalho serverless da AWS é o:|Step Functions;Lambda exclusivamente;SQS exclusivamente;SNS|1
AWS|EASY_PLUS|O serviço da AWS usado para consultas SQL diretamente sobre dados no S3 é o:|Athena;Redshift exclusivamente;RDS;DynamoDB|1
# Bloco D - Seguranca
SECURITY|VERY_EASY|Autenticação é o processo de:|Verificar a identidade de um usuário;Definir o que um usuário pode fazer;Criptografar todos os dados;Apagar logs do sistema|1
SECURITY|VERY_EASY|Autorização é o processo de:|Definir o que um usuário autenticado pode fazer;Verificar apenas a senha;Criar novos usuários;Apagar dados sensíveis|1
SECURITY|EASY|HTTPS é a versão segura do HTTP, utilizando criptografia através de:|TLS/SSL;FTP;SSH exclusivamente;DNS|1
SECURITY|EASY|MFA (autenticação multifator) aumenta a segurança exigindo:|Mais de um fator de verificação de identidade;Apenas uma senha simples;Nenhuma verificação;Apenas biometria obrigatória em todos os casos|1
SECURITY|EASY_PLUS|SQL Injection é um ataque que explora:|Entrada de dados não validada em consultas SQL;Falhas de hardware;Problemas de rede física;Falta de espaço em disco|1
SECURITY|EASY_PLUS|XSS (Cross-Site Scripting) é um ataque que injeta:|Scripts maliciosos em páginas web visualizadas por outros usuários;Vírus diretamente no hardware;Pacotes de rede falsificados apenas;Consultas SQL apenas|1
SECURITY|MEDIUM|O princípio do menor privilégio recomenda conceder a usuários e sistemas:|Apenas as permissões mínimas necessárias;Acesso total por padrão;Nenhuma permissão jamais;Permissões aleatórias|1
SECURITY|MEDIUM|Hashing de senhas, diferente de criptografia reversível, é usado para:|Armazenar senhas de forma que não possam ser revertidas facilmente;Enviar senhas em texto puro;Acelerar o login;Substituir a autenticação|1
SECURITY|MEDIUM_PLUS|O uso de "salt" no hashing de senhas serve para:|Evitar ataques de rainbow table, tornando cada hash único;Acelerar a quebra de senhas;Substituir a necessidade de hashing;Armazenar senhas em texto puro|1
SECURITY|MEDIUM_PLUS|CSRF (Cross-Site Request Forgery) explora a confiança de um site em:|Requisições vindas do navegador autenticado do usuário;Consultas SQL diretas;Falta de conexão de rede;Ausência de JavaScript|1
SECURITY|HARD|O modelo de segurança "Zero Trust" parte do princípio de que:|Nenhuma requisição deve ser confiável por padrão, mesmo dentro da rede interna;Toda a rede interna é sempre confiável;Autenticação só é necessária externamente;Não é necessário validar nenhuma requisição|1
SECURITY|HARD|O OWASP Top 10 é uma referência amplamente usada para listar:|Os riscos de segurança mais críticos em aplicações web;As melhores práticas de UI/UX;Os frameworks mais rápidos do mercado;As linguagens mais populares|1
SECURITY|HARD_PLUS|Um JWT (JSON Web Token) é comumente usado para:|Transmitir informações de autenticação/autorização de forma compacta e verificável;Armazenar arquivos grandes;Substituir bancos de dados;Criptografar discos rígidos|1
SECURITY|HARD_PLUS|CORS (Cross-Origin Resource Sharing) é um mecanismo que controla:|Quais origens podem fazer requisições a um recurso web;A velocidade de conexão de rede;O tamanho máximo de arquivos enviados;A criptografia do disco|1
SECURITY|VERY_HARD|Um "buffer overflow" ocorre quando:|Dados escritos excedem o espaço de memória alocado, corrompendo áreas adjacentes;Um arquivo é grande demais para o disco;Uma senha é digitada incorretamente várias vezes;Uma consulta SQL retorna resultado vazio|1
SECURITY|VERY_HARD|Testes de penetração (pentest) têm como objetivo:|Simular ataques reais para identificar vulnerabilidades antes de atacantes reais;Apenas medir performance da aplicação;Substituir toda a equipe de segurança;Eliminar a necessidade de atualizações|1
SECURITY|EXPERT|O princípio de "Security by Design" recomenda que a segurança seja:|Considerada desde as fases iniciais do desenvolvimento, não apenas ao final;Adicionada somente após o lançamento em produção;Responsabilidade exclusiva do time de infraestrutura;Ignorada em sistemas internos|1
SECURITY|EXPERT|Um ataque de "Man-in-the-Middle" ocorre quando um atacante:|Intercepta e potencialmente altera a comunicação entre duas partes sem que percebam;Ataca diretamente o disco rígido físico;Apenas escuta rádio sem interceptar dados;Ataca apenas bancos de dados locais sem rede|1
SECURITY|MASTER|Em criptografia, um ataque de "timing attack" explora:|Diferenças no tempo de execução de operações para inferir informações secretas;Apenas falhas de digitação do usuário;A cor da interface do sistema;O tamanho da tela do dispositivo|1
SECURITY|MASTER|O conceito de "defesa em profundidade" (defense in depth) recomenda:|Múltiplas camadas independentes de segurança, para que a falha de uma não comprometa tudo;Uma única camada de segurança extremamente forte, sem redundância;Nenhuma camada de segurança em sistemas internos;Segurança apenas no perímetro de rede|1
# Bloco E - Siglas
ACRONYMS|VERY_EASY|A sigla DNS significa:|Domain Name System;Data Network Service;Digital Naming Standard;Dynamic Node System|1
ACRONYMS|VERY_EASY|A sigla HTTP significa:|HyperText Transfer Protocol;High Transfer Text Protocol;HyperText Transmission Process;Host Transfer Text Protocol|1
ACRONYMS|EASY|A sigla HTTPS adiciona ao HTTP a camada de:|Segurança (via TLS/SSL);Compressão obrigatória;Cache automático;Roteamento de e-mail|1
ACRONYMS|EASY|A sigla API significa:|Application Programming Interface;Automated Program Integration;Application Process Interaction;Advanced Programming Instruction|1
ACRONYMS|EASY_PLUS|A sigla REST, em APIs, significa:|Representational State Transfer;Remote State Transmission;Reliable Endpoint Service Transfer;Resource State Transaction|1
ACRONYMS|EASY_PLUS|A sigla JSON significa:|JavaScript Object Notation;Java Standard Object Notation;JavaScript Oriented Syntax Node;Joint Structured Object Notation|1
ACRONYMS|MEDIUM|A sigla CRUD refere-se às operações básicas:|Create, Read, Update, Delete;Create, Run, Undo, Delete;Connect, Read, Update, Disconnect;Create, Read, Upload, Download|1
ACRONYMS|MEDIUM|A sigla ORM significa:|Object-Relational Mapping;Object Runtime Manager;Operational Resource Model;Object Relation Module|1
ACRONYMS|MEDIUM_PLUS|A sigla CI/CD refere-se a:|Continuous Integration / Continuous Delivery (ou Deployment);Code Inspection / Code Delivery;Continuous Iteration / Continuous Debugging;Central Integration / Central Deployment|1
ACRONYMS|MEDIUM_PLUS|A sigla SSH significa:|Secure Shell;Simple Shell Host;Server Side Handler;Secure System Host|1
ACRONYMS|HARD|A sigla TCP significa:|Transmission Control Protocol;Total Connection Protocol;Transfer Control Process;Transmission Channel Protocol|1
ACRONYMS|HARD|A sigla UDP significa:|User Datagram Protocol;Universal Data Protocol;User Data Process;Unified Datagram Process|1
ACRONYMS|HARD_PLUS|A sigla CDN significa:|Content Delivery Network;Central Data Node;Cloud Distribution Network;Content Data Node|1
ACRONYMS|HARD_PLUS|A sigla JWT significa:|JSON Web Token;Java Web Transfer;JavaScript Web Type;Joint Web Token|1
ACRONYMS|VERY_HARD|A sigla CORS significa:|Cross-Origin Resource Sharing;Central Origin Request Service;Cross-Object Resource Standard;Client Origin Request Sharing|1
ACRONYMS|VERY_HARD|A sigla SLA significa:|Service Level Agreement;System Load Average;Service Load Assurance;Standard Level API|1
ACRONYMS|EXPERT|A sigla SLO, comumente usada junto ao SLA, significa:|Service Level Objective;System Level Operation;Service Load Objective;Standard Level Output|1
ACRONYMS|EXPERT|A sigla SLI, relacionada a SLA/SLO, significa:|Service Level Indicator;System Load Index;Standard Latency Indicator;Service Load Interface|1
ACRONYMS|MASTER|A sigla mTLS, usada em segurança de comunicação entre serviços, significa:|Mutual Transport Layer Security;Managed Transfer Layer Standard;Multi Transport Level Service;Master Transport Layer Sync|1
ACRONYMS|MASTER|A sigla RPC significa:|Remote Procedure Call;Runtime Process Controller;Remote Process Configuration;Rapid Procedure Communication|1
# Bloco F - Observabilidade
OBSERVABILITY|VERY_EASY|Observabilidade em sistemas de software está relacionada à capacidade de:|Entender o estado interno de um sistema a partir de seus dados externos;Apenas desligar o sistema remotamente;Compactar arquivos automaticamente;Criptografar dados em repouso|1
OBSERVABILITY|VERY_EASY|Um dos "três pilares" clássicos da observabilidade é:|Logs;Backups;Testes unitários;Migrations|1
OBSERVABILITY|EASY|Além dos logs, outro pilar clássico da observabilidade é:|Métricas;Comentários no código;Documentação de API;Testes de UI|1
OBSERVABILITY|EASY|O terceiro pilar clássico da observabilidade, além de logs e métricas, é:|Traces (rastros distribuídos);Backups;Migrations;Design patterns|1
OBSERVABILITY|EASY_PLUS|Uma ferramenta popular para coleta e consulta de métricas em sistemas modernos é o:|Prometheus;Git;Docker exclusivamente;Kafka exclusivamente|1
OBSERVABILITY|EASY_PLUS|Uma ferramenta popular para visualização de dashboards de métricas é o:|Grafana;Jenkins;Maven;Webpack|1
OBSERVABILITY|MEDIUM|O OpenTelemetry é um projeto que padroniza principalmente:|A coleta de logs, métricas e traces de forma vendor-neutral;A criação de containers;O controle de versão de código;A criptografia de dados em trânsito|1
OBSERVABILITY|MEDIUM|Health checks em serviços são usados para:|Verificar se uma aplicação está operacional e pronta para receber tráfego;Substituir logs por completo;Apagar dados antigos automaticamente;Gerar documentação de API|1
OBSERVABILITY|MEDIUM_PLUS|"Correlation ID" (ou trace ID) em sistemas distribuídos é usado para:|Rastrear uma requisição através de múltiplos serviços;Criptografar mensagens;Substituir autenticação;Compactar logs automaticamente|1
OBSERVABILITY|MEDIUM_PLUS|Os "Golden Signals" frequentemente citados em observabilidade incluem latência, tráfego, erros e:|Saturação;Criptografia;Versionamento;Compilação|1
OBSERVABILITY|HARD|A diferença central entre monitoramento tradicional e observabilidade é que a observabilidade busca:|Responder perguntas não previstas antecipadamente sobre o sistema;Apenas alertar sobre limites fixos pré-definidos;Substituir totalmente logs por métricas;Eliminar a necessidade de dashboards|1
OBSERVABILITY|HARD|APM (Application Performance Monitoring) tem como foco principal:|Monitorar performance e comportamento de aplicações em produção;Apenas monitorar hardware físico;Substituir testes automatizados;Gerenciar código-fonte|1
OBSERVABILITY|HARD_PLUS|Alta "cardinalidade" em métricas se refere a:|Um grande número de combinações únicas de valores de rótulos/labels;Um número fixo e pequeno de métricas;Ausência total de rótulos;Métricas armazenadas apenas em memória|1
OBSERVABILITY|HARD_PLUS|Um sistema de alertas bem projetado deve evitar principalmente:|Excesso de alertas (alert fatigue) que causam ruído desnecessário;Qualquer tipo de notificação;Uso de métricas;Uso de dashboards|1
OBSERVABILITY|VERY_HARD|Em tracing distribuído, um "span" representa:|Uma unidade de trabalho/operação dentro de um trace;Um tipo de banco de dados;Um protocolo de rede;Um formato de arquivo de log|1
OBSERVABILITY|VERY_HARD|A amostragem (sampling) em sistemas de tracing distribuído é usada principalmente para:|Reduzir o volume de dados coletados mantendo visibilidade representativa;Aumentar indefinidamente o volume de dados;Substituir métricas por completo;Eliminar a necessidade de logs|1
OBSERVABILITY|EXPERT|Logs estruturados (ex: em formato JSON) são preferidos em sistemas modernos porque:|Facilitam consultas, filtros e análise automatizada;São sempre menores que logs em texto puro;Eliminam a necessidade de qualquer ferramenta de análise;Substituem métricas e traces por completo|1
OBSERVABILITY|EXPERT|O conceito de "erro orçamentário" (error budget), associado a SLOs, define:|Quanto de falha um serviço pode ter antes de violar seu objetivo de nível de serviço;O custo financeiro de um servidor;O tempo de compilação máximo permitido;O número de desenvolvedores em um time|1
OBSERVABILITY|MASTER|Em observabilidade avançada, a prática de "eBPF" tem ganhado espaço por permitir:|Observar o comportamento do kernel/sistema com baixo overhead, sem modificar o código da aplicação;Substituir totalmente logs e métricas por uma única métrica;Eliminar a necessidade de qualquer instrumentação;Funcionar apenas em ambientes sem rede|1
OBSERVABILITY|MASTER|A combinação de "SLI, SLO e error budget" forma a base metodológica popularizada principalmente pela prática de:|Site Reliability Engineering (SRE);Extreme Programming;Waterfall;Design Thinking|1
# Bloco G - Threads e concorrencia
CONCURRENCY|VERY_EASY|Uma thread pode ser descrita como:|Uma linha de execução dentro de um processo;Um arquivo no disco;Um banco de dados;Um protocolo de rede|1
CONCURRENCY|VERY_EASY|Um processo pode conter:|Uma ou mais threads;Nenhuma thread nunca;Apenas variáveis globais sem execução;Apenas um arquivo de configuração|1
CONCURRENCY|EASY|Concorrência se refere à capacidade de um sistema:|Lidar com múltiplas tarefas, ainda que não simultaneamente no mesmo instante;Executar apenas uma tarefa por vez, sempre;Nunca alternar entre tarefas;Rodar exclusivamente em um único núcleo sempre|1
CONCURRENCY|EASY|Paralelismo se refere à execução de múltiplas tarefas:|Literalmente ao mesmo tempo, geralmente em múltiplos núcleos;Sempre uma após a outra;Apenas em um único núcleo;Nunca ao mesmo tempo|1
CONCURRENCY|EASY_PLUS|Uma "race condition" ocorre quando:|O resultado de um programa depende da ordem não determinística de execução de threads;Duas threads nunca acessam o mesmo dado;Um programa executa sempre na mesma ordem;Não há concorrência envolvida|1
CONCURRENCY|EASY_PLUS|Um "deadlock" ocorre quando:|Duas ou mais threads ficam bloqueadas esperando recursos umas das outras indefinidamente;Uma thread termina rapidamente sem problemas;Não há nenhum recurso compartilhado;Apenas uma thread está em execução|1
CONCURRENCY|MEDIUM|Um "mutex" é usado principalmente para:|Garantir acesso exclusivo a um recurso compartilhado;Criar novas threads automaticamente;Eliminar a necessidade de sincronização;Substituir processos por threads|1
CONCURRENCY|MEDIUM|Um "semáforo" em programação concorrente é usado para:|Controlar o acesso a um número limitado de recursos compartilhados;Apenas medir tempo de execução;Substituir totalmente mutexes sempre;Eliminar processos|1
CONCURRENCY|MEDIUM_PLUS|Um "thread pool" é usado para:|Reutilizar um conjunto de threads, evitando o custo de criar/destruir threads repetidamente;Criar uma nova thread para cada tarefa sem limite;Eliminar a necessidade de concorrência;Substituir processos por completo|1
CONCURRENCY|MEDIUM_PLUS|"Context switching" (troca de contexto) refere-se a:|O processo de salvar e restaurar o estado de execução ao alternar entre threads/processos;A compilação do código-fonte;A criação de novos arquivos;A criptografia de dados em trânsito|1
CONCURRENCY|HARD|"Thread safety" descreve um código que:|Funciona corretamente quando acessado por múltiplas threads simultaneamente;Nunca pode ser executado por mais de uma thread;Elimina a necessidade de qualquer sincronização;Sempre falha em ambientes concorrentes|1
CONCURRENCY|HARD|Uma variável marcada como "volatile" (em linguagens como Java) tem como objetivo principal:|Garantir visibilidade consistente do valor entre threads, evitando cache local desatualizado;Tornar a variável constante e imutável;Criar automaticamente uma nova thread;Eliminar a necessidade de sincronização em qualquer caso|1
CONCURRENCY|HARD_PLUS|"Starvation" (inanição) ocorre quando:|Uma thread nunca consegue acesso a um recurso porque outras sempre têm prioridade;Todas as threads recebem acesso igualitário sempre;Não há nenhuma thread em execução;O sistema está ocioso, sem tarefas|1
CONCURRENCY|HARD_PLUS|"Livelock" se diferencia de "deadlock" porque, no livelock, as threads:|Continuam ativas reagindo umas às outras, mas sem progresso real;Ficam completamente paradas e bloqueadas;Nunca interagem entre si;São finalizadas automaticamente pelo sistema|1
CONCURRENCY|VERY_HARD|"Green threads" (threads leves gerenciadas pela própria aplicação/runtime) se diferenciam de threads do sistema operacional principalmente por:|Serem gerenciadas em nível de aplicação/runtime, geralmente com menor overhead;Serem sempre mais lentas que threads nativas;Não poderem executar código concorrente;Exigirem hardware especial obrigatório|1
CONCURRENCY|VERY_HARD|O GIL (Global Interpreter Lock), presente na implementação padrão do Python (CPython), tem como efeito:|Limitar a execução simultânea de bytecode Python a uma thread por vez;Eliminar completamente a possibilidade de multithreading;Melhorar automaticamente o paralelismo em múltiplos núcleos;Não ter nenhum impacto em concorrência|1
CONCURRENCY|EXPERT|Operações atômicas (ex: Compare-And-Swap/CAS) são usadas para:|Realizar atualizações concorrentes seguras sem a necessidade de locks tradicionais em certos casos;Sempre exigir bloqueio total do sistema;Eliminar a necessidade de qualquer verificação de estado;Substituir threads por processos|1
CONCURRENCY|EXPERT|O padrão "Produtor-Consumidor" (Producer-Consumer) geralmente utiliza qual estrutura para coordenar threads?|Uma fila compartilhada com sincronização adequada;Nenhuma estrutura compartilhada;Apenas variáveis globais sem proteção;Arquivos temporários no disco exclusivamente|1
CONCURRENCY|MASTER|"False sharing" ocorre quando:|Threads diferentes modificam variáveis distintas que compartilham a mesma linha de cache da CPU, degradando performance;Duas threads compartilham intencionalmente a mesma variável sem problemas;Não há nenhum uso de cache envolvido;O sistema operacional impede qualquer paralelismo|1
CONCURRENCY|MASTER|"Memory visibility" em sistemas concorrentes está relacionado ao fato de que:|Alterações feitas por uma thread podem não ser imediatamente visíveis a outras sem sincronização adequada;Todas as threads sempre veem o mesmo valor instantaneamente sem qualquer cuidado;A memória é sempre compartilhada de forma automática e segura;Não existe conceito de memória compartilhada em sistemas modernos|1
CONCURRENCY|MEDIUM_PLUS|"Thread local storage" (armazenamento local à thread) permite que:|Cada thread tenha sua própria cópia independente de uma variável;Todas as threads compartilhem obrigatoriamente o mesmo valor;Apenas processos, não threads, tenham dados locais;A variável seja sempre global e compartilhada|1
CONCURRENCY|HARD|Um "lock reentrante" (reentrant lock) permite que:|A mesma thread adquira o lock novamente sem causar deadlock consigo mesma;Múltiplas threads diferentes adquiram o mesmo lock simultaneamente sem restrição;Nenhuma thread possa adquirir o lock mais de uma vez, nem a mesma;O lock seja eliminado automaticamente após uso|1
CONCURRENCY|HARD_PLUS|O padrão "Monitor" em programação concorrente combina:|Um mecanismo de exclusão mútua com variáveis de condição para sincronização;Apenas variáveis globais sem qualquer controle;Múltiplos processos sem qualquer comunicação;Um sistema de arquivos compartilhado apenas|1
CONCURRENCY|MEDIUM|Um "daemon thread" (em ambientes como Java) é caracterizado por:|Não impedir o encerramento do programa mesmo se ainda estiver em execução;Sempre impedir o encerramento da aplicação;Ser obrigatoriamente a thread principal;Nunca poder ser criado pelo desenvolvedor|1
CONCURRENCY|EASY_PLUS|Um "Executor Service" (em linguagens como Java/Kotlin) é usado para:|Gerenciar a execução de tarefas assíncronas em um pool de threads;Substituir totalmente o sistema operacional;Eliminar a necessidade de qualquer concorrência;Compilar código automaticamente|1
CONCURRENCY|VERY_HARD|Um "CompletableFuture" (Java) ou construções similares de "Future/Promise" em outras linguagens representam:|Um valor que estará disponível no futuro, resultado de uma computação assíncrona;Um valor sempre disponível imediatamente de forma síncrona;Uma thread que nunca termina;Um tipo de banco de dados|1
CONCURRENCY|EXPERT|Coroutines, presentes em linguagens como Kotlin, diferem de threads tradicionais do sistema operacional principalmente por:|Serem mais leves e gerenciadas cooperativamente, geralmente sem mapeamento direto 1:1 com threads do SO;Serem sempre idênticas a threads nativas em custo;Não permitirem qualquer forma de suspensão;Não poderem ser usadas para I/O assíncrono|1
CONCURRENCY|EASY|Executar múltiplas tarefas de forma concorrente pode melhorar principalmente:|O aproveitamento de recursos e a responsividade do sistema;Sempre a simplicidade do código, sem exceção;Sempre elimina qualquer necessidade de testes;Nunca traz nenhum benefício real|1
CONCURRENCY|HARD|Um dos principais desafios de depurar código multithread é:|A dificuldade de reproduzir bugs que dependem de condições de tempo (timing);A ausência total de qualquer ferramenta de debug;A garantia de que bugs sempre se repetem exatamente da mesma forma;A inexistência de race conditions em sistemas modernos|1
CONCURRENCY|MASTER|O conceito de "work-stealing", usado em alguns schedulers de tarefas concorrentes (ex: ForkJoinPool), permite que:|Threads ociosas "roubem" tarefas de filas de outras threads ocupadas, balanceando a carga;Apenas uma thread execute todas as tarefas sempre;Tarefas sejam sempre perdidas quando uma thread está ociosa;Nenhuma forma de balanceamento de carga seja possível|1
# Bloco H - Resiliencia
RESILIENCE|VERY_EASY|Um "Timeout" define:|O tempo máximo de espera por uma resposta antes de desistir da operação;O tempo mínimo obrigatório de uma requisição;A quantidade de requisições permitidas por segundo;O número de tentativas de reconexão|1
RESILIENCE|VERY_EASY|Um "Retry" consiste em:|Tentar novamente uma operação que falhou;Cancelar definitivamente uma operação após a primeira falha;Ignorar erros silenciosamente sem qualquer ação;Aumentar o timeout indefinidamente|1
RESILIENCE|EASY|"Rate Limiting" tem como objetivo:|Limitar o número de requisições permitidas em um período de tempo;Aumentar a velocidade de todas as requisições sem limites;Eliminar a necessidade de autenticação;Substituir o banco de dados|1
RESILIENCE|EASY|Um "Circuit Breaker" (disjuntor) tem como objetivo principal:|Evitar chamadas repetidas a um serviço que está falhando continuamente;Aumentar o número de tentativas sem limite;Eliminar toda comunicação entre serviços;Substituir o banco de dados por cache|1
RESILIENCE|EASY_PLUS|No padrão Circuit Breaker, o estado em que as chamadas são bloqueadas imediatamente sem tentar o serviço é chamado de:|Aberto (Open);Fechado (Closed);Meio-Aberto (Half-Open);Desligado (Off)|1
RESILIENCE|EASY_PLUS|No padrão Circuit Breaker, o estado normal, em que as chamadas fluem normalmente, é chamado de:|Fechado (Closed);Aberto (Open);Meio-Aberto (Half-Open);Bloqueado (Blocked)|1
RESILIENCE|MEDIUM|No padrão Circuit Breaker, o estado "Meio-Aberto" (Half-Open) serve para:|Testar com poucas requisições se o serviço já se recuperou;Bloquear permanentemente todas as chamadas;Aumentar indefinidamente o tráfego ao serviço com falha;Substituir o estado fechado por completo|1
RESILIENCE|MEDIUM|Um "Retry" sem nenhuma estratégia de espera entre tentativas pode causar:|Sobrecarga adicional em um serviço já instável;Melhora garantida na disponibilidade;Eliminação total de falhas;Redução automática de latência|1
RESILIENCE|MEDIUM_PLUS|A estratégia de "Exponential Backoff" em retries consiste em:|Aumentar progressivamente o tempo de espera entre tentativas;Tentar novamente imediatamente e sem intervalo, sempre;Nunca tentar novamente após a primeira falha;Diminuir o tempo de espera a cada tentativa|1
RESILIENCE|MEDIUM_PLUS|"Jitter", frequentemente combinado ao backoff exponencial, é usado para:|Adicionar aleatoriedade ao tempo de espera, evitando que muitos clientes tentem novamente ao mesmo tempo;Aumentar a previsibilidade total do sistema;Eliminar a necessidade de retries;Forçar todas as tentativas a ocorrerem simultaneamente|1
RESILIENCE|HARD|Aplicar Rate Limiting em uma API ajuda a proteger o sistema contra:|Abuso, picos de tráfego excessivo e ataques de negação de serviço;Falhas de compilação;Erros de sintaxe no código;Problemas de nomenclatura de variáveis|1
RESILIENCE|HARD|Um algoritmo comum para implementar rate limiting é o:|Token Bucket;Bubble Sort;Dijkstra;MapReduce|1
RESILIENCE|HARD_PLUS|Combinar Timeout com Retry sem cuidado pode resultar em:|Aumento significativo da latência total percebida pelo usuário;Redução garantida do tempo de resposta;Eliminação total de falhas de rede;Nenhum efeito colateral|1
RESILIENCE|HARD_PLUS|O padrão "Bulkhead", frequentemente usado junto a Circuit Breaker, tem como objetivo:|Isolar recursos para que a falha em uma parte não afete todo o sistema;Unificar todos os recursos em um único pool sem isolamento;Eliminar a necessidade de timeouts;Substituir retries por completo|1
RESILIENCE|VERY_HARD|Nem todo erro deve ser reprocessado com Retry; erros como validação de dados inválidos (erro do cliente) geralmente:|Não devem ser retentados automaticamente, pois falharão novamente da mesma forma;Devem sempre ser retentados indefinidamente;Devem sempre aumentar o rate limit;Devem abrir o circuit breaker imediatamente sem análise|1
RESILIENCE|VERY_HARD|Rate limiting pode ser aplicado em diferentes granularidades, como:|Por usuário, por IP ou globalmente por serviço;Apenas de forma global, sem outras opções;Apenas por thread individual;Apenas por linha de código|1
RESILIENCE|EXPERT|Definir um Timeout muito curto para chamadas a um serviço externo pode causar:|Falhas desnecessárias mesmo quando o serviço responderia corretamente, só um pouco mais devagar;Sempre melhorar a confiabilidade do sistema;Eliminar totalmente a necessidade de circuit breaker;Nenhum impacto negativo|1
RESILIENCE|EXPERT|O uso combinado de Timeout, Retry, Circuit Breaker e Rate Limiting é frequentemente agrupado sob o conceito de:|Padrões de resiliência (resilience patterns);Padrões de criação (creational patterns) do GoF;Normalização de banco de dados;Princípios SOLID|1
RESILIENCE|MASTER|Bibliotecas como Resilience4j e Hystrix (este último descontinuado) implementam de forma pronta padrões como:|Circuit Breaker, Retry, Rate Limiter e Bulkhead;Apenas compressão de dados;Apenas criptografia de disco;Apenas balanceamento de carga de rede física|1
RESILIENCE|MASTER|Em sistemas distribuídos de grande escala, decidir os limites (thresholds) ideais de circuit breakers e rate limiters geralmente exige:|Análise de métricas reais de produção e ajuste contínuo, não apenas valores fixos arbitrários;Um único valor universal válido para qualquer sistema;Nenhum tipo de monitoramento;Configuração manual feita uma única vez sem revisão|1
# Bloco I - CQRS e Event Sourcing
EVENT_DRIVEN|VERY_EASY|A sigla CQRS significa:|Command Query Responsibility Segregation;Central Query Response System;Command Queue Retry Service;Client Query Resource Sync|1
EVENT_DRIVEN|VERY_EASY|CQRS separa principalmente:|Operações de escrita (comandos) das operações de leitura (consultas);Frontend de backend;Testes de produção;Bancos relacionais de NoSQL obrigatoriamente|1
EVENT_DRIVEN|EASY|Em CQRS, um "Command" (comando) representa:|Uma intenção de alterar o estado do sistema;Apenas uma consulta de leitura;Um relatório estático;Um arquivo de configuração|1
EVENT_DRIVEN|EASY|Em CQRS, uma "Query" (consulta) representa:|Uma solicitação de leitura de dados, sem alterar estado;Uma alteração no banco de dados;Um comando de exclusão obrigatório;Um evento de domínio|1
EVENT_DRIVEN|EASY_PLUS|Event Sourcing armazena o estado de uma entidade como:|Uma sequência de eventos que, aplicados em ordem, reconstroem o estado atual;Apenas o estado final, sem histórico;Um arquivo de configuração estático;Um cache temporário sem persistência|1
EVENT_DRIVEN|EASY_PLUS|Em Event Sourcing, um "evento" representa:|Um fato imutável que já ocorreu no passado;Uma consulta de leitura;Um comando ainda não processado;Um arquivo de log temporário sem significado|1
EVENT_DRIVEN|MEDIUM|Um dos benefícios de CQRS é permitir que os modelos de leitura e escrita:|Evoluam e sejam otimizados de forma independente;Sejam sempre idênticos e compartilhados;Usem obrigatoriamente o mesmo banco de dados;Eliminem completamente a necessidade de testes|1
EVENT_DRIVEN|MEDIUM|Um dos benefícios do Event Sourcing é fornecer:|Um histórico completo e auditável de todas as mudanças de estado;Apenas o estado atual, sem qualquer histórico;Eliminação total da necessidade de banco de dados;Consultas mais lentas sempre|1
EVENT_DRIVEN|MEDIUM_PLUS|CQRS é frequentemente combinado com Event Sourcing, onde os eventos:|Alimentam tanto o modelo de escrita quanto modelos de leitura (projeções) otimizados;São usados apenas para leitura, nunca para escrita;Substituem totalmente a necessidade de comandos;Eliminam a necessidade de consultas|1
EVENT_DRIVEN|MEDIUM_PLUS|Um "modelo de leitura" (read model) em CQRS geralmente é otimizado para:|Consultas rápidas e específicas para a interface do usuário;Validações complexas de regras de negócio;Processamento de comandos;Armazenar apenas eventos brutos sem transformação|1
EVENT_DRIVEN|HARD|Em sistemas com Event Sourcing, uma "projeção" é responsável por:|Construir uma visão (read model) a partir da reprodução de eventos;Apagar eventos antigos automaticamente;Substituir o barramento de eventos;Validar comandos antes de serem emitidos|1
EVENT_DRIVEN|HARD|Um desafio comum ao adotar CQRS com Event Sourcing é lidar com:|Consistência eventual entre o modelo de escrita e os modelos de leitura;Ausência total de qualquer consulta;Impossibilidade de versionar eventos;A obrigatoriedade de um único banco de dados compartilhado|1
